,Unnamed: 0,year,month,days,hour,minute,second,depth,latitude,longitude,magnitude,station,station_latitude,station_longitude,pga,sa0.01,sa0.02,sa0.03,sa0.05,sa0.07,sa0.1,sa0.15,sa0.2,sa0.25,sa0.3,sa0.4,sa0.5,sa0.75,sa1,sa1.5,sa2,sa3,sa4,sa5,sa7.5,sa10,Vs30,HVSRamp,fpeak,T*,P*,Rock/Soil,event_type,HypDist,RupDist,JBDist,XDist,Azimuth,RupDepth,Strike,Dip,Rake
10089,10089,2025,3,21,13,59,3,104.0,-20.42,-69.08,4.7,T20A,-19.924409866333008,-69.51192474365234,0.0106,0.0105,0.011,0.0142,0.0291,0.0321,0.0225,0.0256,0.0308,0.014,0.00646,0.00426,0.00287,0.00112,0.000553,0.000186,0.000109,4.69e-05,2.78e-05,1.85e-05,8.63e-06,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,125.96,125.96,71.05,47.99,320.47,104.0,0.0,0.0,-90.0
10090,10090,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,T03A,-20.23022651672364,-70.14590454101562,0.00774,0.00775,0.00832,0.01,0.0204,0.0199,0.026,0.0185,0.0118,0.0116,0.00687,0.00356,0.00235,0.000885,0.00052,0.000258,0.000167,5.52e-05,2.75e-05,-12300.0,-12300.0,-12300.0,613,1,8.95,sII,C,Soil,Intra,134.91,177.6,120.03,127.32,267.06,130.9,316.0,83.0,-148.0
10091,10091,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,T19A,-20.287240982055664,-70.10462951660156,0.0082,0.00819,0.00881,0.00921,0.0141,0.0188,0.0242,0.0264,0.0231,0.0145,0.00964,0.00963,0.00543,0.00261,0.00155,0.000497,0.000289,0.000109,4.72e-05,2.72e-05,1.12e-05,-12300.0,822,0,-,-12345,-12345,-12345,Intra,132.37,174.51,115.4,122.74,262.82,130.9,316.0,83.0,-148.0
10092,10092,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,A16P,-19.1599349975586,-70.17971801757812,0.00844,0.00844,0.00931,0.0121,0.0139,0.0211,0.0234,0.0232,0.0316,0.0143,0.0116,0.00734,0.00265,0.00154,0.00099,0.00034,0.000187,8.04e-05,4.63e-05,2.61e-05,1.13e-05,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,178.61,220.53,177.48,131.08,319.93,130.9,316.0,83.0,-148.0
10093,10093,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,T20A,-19.92428970336914,-69.51195526123047,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,106.33,147.73,68.48,56.88,319.25,130.9,316.0,83.0,-148.0
10094,10094,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,T15A,-20.23918914794922,-70.053955078125,0.0258,0.0258,0.0289,0.0396,0.0756,0.0866,0.0858,0.0285,0.0217,0.0159,0.0107,0.007,0.0038,0.00248,0.000951,0.000669,0.000299,0.000108,5.34e-05,3.4e-05,1.4e-05,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,128.62,171.23,110.38,117.1,266.06,130.9,316.0,83.0,-148.0
10095,10095,2025,3,16,1,27,9,99.0,-20.19,-69.27,5.1,T10A,-19.9953842163086,-69.76712799072266,0.0436,0.0435,0.0465,0.0549,0.0986,0.147,0.0827,0.05,0.0559,0.0322,0.0282,0.0184,0.0145,0.00775,0.00316,0.00126,0.000643,0.000225,0.000119,7.5e-05,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,113.88,157.42,87.44,85.24,292.42,130.9,316.0,83.0,-148.0
10096,10096,2024,12,17,16,0,44,99.0,-19.32,-69.32,4.5,T15A,-20.239267349243164,-70.05392456054688,0.00651,0.00652,0.00672,0.00737,0.011,0.0186,0.029,0.0144,0.00769,0.00681,0.00392,0.00158,0.000853,0.000284,0.000157,6.83e-05,3.8e-05,1.63e-05,-12300.0,-12300.0,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,161.47,161.47,127.56,81.55,216.96,99.0,0.0,0.0,-90.0
10097,10097,2024,12,17,16,0,44,99.0,-19.32,-69.32,4.5,A16P,-19.160043716430664,-70.17967224121094,0.00766,0.00767,0.00804,0.00948,0.0157,0.0259,0.0192,0.0271,0.0206,0.00841,0.00536,0.00223,0.00117,0.000446,0.000208,8.49e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,135.22,135.22,92.1,95.52,280.94,99.0,0.0,0.0,-90.0
10098,10098,2024,12,17,16,0,44,99.0,-19.32,-69.32,4.5,T20A,-19.92438697814941,-69.51189422607422,0.0225,0.0225,0.0234,0.0247,0.0353,0.0617,0.0491,0.0746,0.0755,0.0362,0.0149,0.00585,0.00348,0.0012,0.000692,0.000282,0.000143,6.22e-05,-12300.0,-12300.0,-12300.0,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,121.17,121.17,69.87,21.32,196.71,99.0,0.0,0.0,-90.0
